title,issn,specialty
Society and Security Insights (перевод наименования на государственный язык Российской Федерации: Общество и безопасность),2619-0249,5.4.3; 5.4.4; 5.4.6; 03.06.20
SocioTime / Социальное время,2410-0773,5.7.1; 5.7.2; 5.7.6; 5.7.7; 5.7.8; 5.4.4; 5.4.5; 5.4.6; 5.4.7; 01.02.20; 5.6.1; 5.6.2; 5.6.3; 5.6.4; 5.6.7; 01.11.20
"Studia Germanica, Romanica et Comparatistica",2415-8720,5.9.6; 5.9.8; 20.02.20
Studia Litterarum (перевод наименования на государственный язык Российской Федерации: Литературные исследования),2500-4247,10.01.01; 10.01.02; 10.01.03; 12.02.20; 16.10.20; 5.9.3; 5.9.4; 01.02.20; 5.9.1; 5.9.2; 23.09.20
Studia Religiosa Rossica: научный журнал о религии,2658-4158,5.7.9; 5.7.9; 5.10.1; 5.10.1; 5.11.1; 5.11.2; 31.05.20
Studia Slavica et Balcanica Petropolitana,1995-848X,5.6.1; 5.6.2; 20.03.20; 5.6.5
Sustainable Development and Engineering Economics (перевод наименования на государственный язык Российской Федерации: Устойчивое развитие и инженерная экономика),2782-6333,5.2.2; 2.3.4; 30.10.20
System Analysis & Mathematical Modeling (перевод наименования на государственный язык Российской Федерации: Системный анализ и математическое моделирование),2713-1734,1.2.2; 1.2.2; 2.3.1; 2.3.1; 13.10.20
T-Comm – Телекоммуникации и Транспорт,2072-8735,05.13.15; 05.22.01; 05.22.13; 28.12.20; 16.10.20; 2.2.13; 2.2.13; 2.2.14; 2.2.14; 2.2.15; 2.2.15; 2.2.16; 2.2.16; 01.02.20; 2.3.4; 1.2.2; 2.9.4; 08.02.20
Tempus et Memoria (до 08.02.20223 наименование в Перечне «Известия Уральского федерального университета. Серия 3. Общественные науки» ISSN,2227-2291,
Terra artis. Искусство и дизайн,2712-8768,5.10.1; 01.10.20; 5.10.1; 5.10.2; 5.10.3
Terra Economicus («ПРОСТРАНСТВО ЭКОНОМИКИ»),2073-6606,08.00.05; 28.12.20; 16.10.20; 5.2.1; 01.02.20; 08.02.20
Terra Linguistica (до 08.02.2023 г. наименование в Перечне «Общество. Коммуникация. Образование = Society. Communication. Education» ISSN,2687-0525,09.12.20
государственного политехнического университета. Гуманитарные и общественные науки. St. Petersburg State Polytechnicl University Journal. Humanities and Social Sciences» ISSN,2304-9758,
The Digital Scholar: Philosopher`s Lab / Цифровой ученый: лаборатория философа,2618-9267,5.7.1; 01.02.20; 5.7.6; 5.7.7; 5.7.8
The EYE ГЛАЗ,2222-4408,3.1.5; 01.02.20; 08.07.20
"The world of academia: Culture, Education (перевод наименования на государственный язык Российской Федерации: Мир университетской науки: культура, образование) (До 08.07.2019 г. наименование в Перечне «Известия Южного федерального университета. Педагогические науки» ISSN",1995-1140,
Theory and Practice of Physical Culture,2409-4234,5.8.4; 5.8.5; 5.8.6; 5.8.7; 20.03.20
"Training, Language and Culture",2521-442X,5.8.2; 20.12.20; 5.9.6; 5.9.8; 24.11.20
Transportation and Information Technologies in Russia / Транспорт и информационные технологии (до 24.11.2025 г. наименование в Перечне «International Journal of Advanced Studies (Международный журнал перспективных исследований)» ISSN,2328-1391,
Turczaninowia (Турчаниновия),1560-7259,03.01.07; 03.01.08; 28.12.20; 16.10.20; 1.5.3; 1.5.21; 1.5.6; 1.5.9; 1.5.7; 1.5.15; 1.5.18; 1.5.20; 1.5.22; 1.5.23; 01.02.20
University therapeutic journal (перевод наименования на государственный язык Российской Федерации: Университетский терапевтический вестник),2713-1912,3.1.9; 3.1.18; 3.1.20; 3.1.21; 3.1.29; 25.05.20; 3.1.30; 3.1.31
Ural Radio Engineering Journal (перевод наименования на государственный язык Российской Федерации: Уральский радиотехнический журнал),2588-0454,05.11.08; 05.11.18; 15.04.20; 16.10.20; 2.2.14; 2.2.16; 2.2.2; 01.02.20; 2.2.8; 2.2.13; 2.2.15; 07.03.20
"Vestnik of Russian New University. Series Complex systems: models, analysis, management"" (""Вестник Российского нового университета. Серия ""Сложные системы: модели, анализ и управление"")",2414-9187,05.13.20; 28.12.20; 16.10.20; 2.2.14; 2.2.15; 2.2.16; 2.3.1; 2.3.4; 2.3.5; 1.2.2; 1.2.2; 01.02.20; 2.3.6; 2.3.8; 14.12.20
"Vestnik of Russian New University. Series Man and society"" (""Вестник Российского нового университета. Серия ""Человек и общество"")",2414-9276,08.00.05; 12.00.01; 12.00.08; 28.12.20; 16.10.20; 5.2.1; 5.2.2; 5.2.3; 5.2.4; 5.2.5; 5.2.6; 5.1.1; 5.1.3; 5.1.4; 21.02.20
"Vestnik of Russian New University. Series Man in the modern world"" (""Вестник Российского нового университета. Серия ""Человек в современном мире"")",2414-925X,10.02.01; 10.02.05; 10.02.19; 10.02.20; 10.02.21; 28.12.20; 16.10.20; 5.8.1; 5.8.2; 20.12.20; 5.8.3; 5.8.7; 5.3.1; 5.3.4; 5.3.5; 5.9.5; 5.9.6; 5.9.8; 30.10.20; 09.12.20
Via in tempore. История. Политология (до 09.12.2020 г. наименование в Перечне «Научные ведомости Белгородского государственного университета. Серия «История. Политология» ISSN,2075-4558,
XXI век: итоги прошлого и проблемы настоящего плюс,2221-951X,05.13.05; 05.13.17; 05.18.12; 05.26.02; 28.12.20; 16.10.20; 05.13.15; 05.18.04; 05.18.15; 03.10.20; 16.10.20; 05.26.03; 2.3.1; 2.3.3; 2.3.4; 4.3.5; 01.02.20; 2.1.16; 1.2.2; 01.02.20
Авиакосмическое приборостроение,2073-0020,05.07.06; 05.07.07; 05.07.10; 05.11.14; 28.12.20; 16.10.20; 2.5.12; 01.02.20; 2.5.13; 2.5.14; 2.5.15; 2.5.16; 2.2.5; 2.3.1; 2.3.6
Авиационная промышленность,0869-530X,05.07.06; 05.07.07; 05.07.10; 28.12.20; 16.10.20; 2.5.12; 2.5.13; 2.5.14; 2.5.15; 2.5.16; 01.02.20
Авиационные двигатели,2658-6061,1.1.7; 1.1.8; 1.1.8; 1.1.9; 22.05.20; 2.5.4; 2.5.6; 2.5.9; 2.5.12; 2.5.13; 2.5.14; 2.5.15
Авиационные материалы и технологии,2713-0193,05.17.06; 28.12.20; 16.10.20; 2.6.1; 2.6.17; 01.02.20; 2.6.11; 22.06.20
АвтоГазоЗаправочный Комплекс плюс Альтернативное Топливо,2073-8323,2.9.5; 01.02.20
Автоматизация в промышленности,1819-5962,05.02.02; 05.02.11; 05.02.22; 05.02.23; 05.13.05; 05.13.12; 28.12.20; 16.10.20; 05.13.15; 05.13.17; 2.2.4; 2.2.5; 2.2.8; 2.2.10; 2.2.11; 2.3.1; 2.3.3; 2.3.4; 2.3.5; 1.2.2
Автоматизация и моделирование в проектировании и управлении,2658-6436,1.2.2; 2.3.3; 16.12.20; 2.3.4; 2.3.7; 2.4.2; 20.03.20
Автоматизация процессов управления,1991-2927,05.08.06; 05.13.05; 05.13.12; 05.13.17; 28.12.20; 16.10.20; 2.2.15; 2.3.1; 2.3.5; 1.2.2; 2.3.6; 01.02.20; 2.3.2; 2.3.7; 15.02.20
Автоматизация и измерения в машино-приборостроении,2658-4727,1.2.2; 2.2.8; 2.3.3; 22.05.20; 13.10.20
"Автоматизация и информатизация ТЭК (до 13.10.2022 наименование издания в Перечне «Автоматизация,",2782-604X,2.2.8; 2.2.10; 01.02.20
"(технические науки), 2.2.10. Метрология и метрологическое обеспечение (технические науки),",0132-2222,2.2.11; 2.2.15; 2.3.3; 2.3.1; 2.3.5; 1.2.2
Автоматизация. Современные технологии,0869-4931,05.07.07; 05.07.10; 05.13.12; 26.03.20; 16.10.20; 05.02.11; 05.02.22; 05.13.05; 31.01.20; 16.10.20; 2.5.13; 2.5.4; 2.3.1; 2.3.3; 01.02.20; 2.2.9; 2.3.2; 2.9.6; 20.03.20
Автоматика на транспорте,2412-9186,2.3.3; 2.9.4; 01.02.20; 2.9.8; 22.05.20
"Автоматика, связь, информатика",0005-2329,05.09.01; 05.09.03; 05.22.01; 26.03.20; 16.10.20; 2.4.11; 2.3.1; 2.3.3; 1.2.2; 2.3.6; 2.9.4; 01.02.20; 2.2.11; 2.2.13; 2.2.15; 2.4.2; 2.9.8; 14.12.20
Автомобиль. Дорога. Инфраструктура,2409-7217,2.4.7; 2.5.6; 2.5.11; 2.9.8; 15.02.20; 2.9.9
Аграрная история / Agrarian History,2713-2447,5.6.1; 23.04.20
Аграрная наука Евро-Северо- Востока,2072-9081,05.20.01; 05.20.03; 06.01.02; 06.01.04; 06.01.05; 06.01.06; 06.01.07; 06.01.09; 28.12.20; 16.10.20; 06.02.01; 06.02.03; 06.02.06; 06.02.07; 06.02.07; 06.02.08; 06.02.09; 06.02.10; 06.02.10; 12.02.20
Аграрная наука,0869-8155,06.01.04; 06.01.07; 06.02.01; 06.02.03; 12.02.20; 16.10.20; 4.1.1; 4.2.3; 01.02.20; 4.1.2; 22.11.20; 4.1.3; 4.1.4; 4.2.1; 4.2.1; 4.2.2; 4.2.2; 4.2.3; 4.2.4; 4.2.4
Аграрное и земельное право,1815-1329,12.00.01; 12.00.02; 12.00.03; 12.00.04; 12.00.05; 12.00.06; 28.12.20; 16.10.20; 12.00.07; 12.00.08; 12.00.09; 12.00.10; 12.00.11; 12.00.12; 12.00.13; 12.00.14; 12.00.15; 5.1.1; 5.1.2; 5.1.3
Аграрный вестник Верхневолжья,2307-5872,05.20.01; 05.20.03; 06.01.04; 06.02.01; 06.02.07; 28.12.20; 16.10.20; 06.02.10; 4.1.1; 01.02.20; 4.1.3; 4.2.1; 4.2.4; 4.2.5; 4.3.1; 13.10.20; 06.01.05; 06.02.01; 06.02.05; 06.02.05
Аграрный научный журнал,2313-8432,05.20.01; 05.20.03; 06.01.02; 06.01.04; 06.01.05; 06.01.07; 06.02.01; 28.12.20; 16.10.20; 06.02.06; 06.02.08; 06.02.10; 4.1.1; 01.02.20; 4.1.2; 4.1.3; 4.1.4; 4.2.1; 4.2.4; 4.2.5
Агробиотехнологии и цифровое земледелие,2782-490X,4.1.1; 4.1.2; 4.1.3; 10.06.20; 4.1.4; 4.2.3; 4.2.3; 4.2.4; 4.2.4; 4.2.5; 4.2.5
